rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
Over 25K,52.0,14,40.0,Male,Junior college,Very satisfied,One of most important,50+
Under 25K,43.0,13,65.0,Male,High school,Very satisfied,Somewhat important,40-49
Under 25K,24.0,12,42.0,Male,High school,Mod satisfied,Very important,18-29
Under 25K,56.0,11,44.0,Female,Less than HS,Very satisfied,Very important,50+
Under 25K,28.0,14,38.0,Female,Junior college,Mod satisfied,Somewhat important,18-29
Over 25K,40.0,15,40.0,Male,Junior college,Very satisfied,Very important,40-49
Under 25K,24.0,9,37.0,Male,Less than HS,Very satisfied,Very important,18-29
Under 25K,49.0,9,45.0,Male,Less than HS,Mod satisfied,Very important,40-49
Under 25K,47.0,12,70.0,Male,High school,Mod satisfied,Very important,40-49
Under 25K,35.0,12,45.0,Female,High school,Very satisfied,Very important,30-39
Over 25K,35.0,12,50.0,Male,High school,Very satisfied,Very important,30-39
Under 25K,20.0,12,39.0,Female,High school,Mod satisfied,Very important,18-29
Under 25K,37.0,14,42.0,Male,Junior college,A little dissatisfied,Very important,30-39
Under 25K,51.0,15,40.0,Female,High school,Very satisfied,Somewhat important,50+
Under 25K,44.0,16,60.0,Male,Bachelor,Mod satisfied,Very important,40-49
Under 25K,28.0,16,40.0,Male,Bachelor,Mod satisfied,Very important,18-29
Under 25K,37.0,12,32.0,Female,High school,Very satisfied,Very important,30-39
Under 25K,40.0,12,46.0,Female,High school,Mod satisfied,Very important,40-49
Under 25K,47.0,12,70.0,Male,High school,Mod satisfied,Very important,40-49
Over 25K,43.0,14,50.0,Male,High school,Very satisfied,One of most important,40-49
Over 25K,43.0,16,60.0,Female,Bachelor,Very satisfied,Very important,40-49
Under 25K,27.0,13,70.0,Male,Junior college,A little dissatisfied,One of most important,18-29
Under 25K,39.0,16,80.0,Male,Bachelor,Very satisfied,One of most important,30-39
Over 25K,45.0,12,50.0,Male,High school,Mod satisfied,One of most important,40-49
Over 25K,45.0,12,60.0,Male,High school,Mod satisfied,Very important,40-49
Under 25K,47.0,11,36.0,Female,High school,Very satisfied,Very important,40-49
Under 25K,39.0,12,58.0,Female,High school,Mod satisfied,Very important,30-39
Under 25K,52.0,12,38.0,Female,High school,A little dissatisfied,Very important,50+
Over 25K,28.0,17,55.0,Male,Bachelor,Mod satisfied,Somewhat important,18-29
Under 25K,37.0,12,40.0,Female,High school,Very satisfied,Very important,30-39
Over 25K,55.0,13,60.0,Male,High school,Mod satisfied,Very important,50+
Under 25K,46.0,11,60.0,Male,High school,Mod satisfied,Very important,40-49
Over 25K,63.0,9,48.0,Male,Less than HS,Very satisfied,Very important,50+
Under 25K,21.0,14,40.0,Female,High school,Very satisfied,Very important,18-29
Under 25K,41.0,12,45.0,Male,High school,Very satisfied,Somewhat important,40-49
Under 25K,33.0,9,44.0,Male,Less than HS,Mod satisfied,Very important,30-39
Under 25K,21.0,12,20.0,Male,High school,Mod satisfied,One of most important,18-29
Under 25K,29.0,11,70.0,Female,Less than HS,Very dissatisfied,Very important,18-29
Under 25K,41.0,12,60.0,Male,High school,Very satisfied,Very important,40-49
Over 25K,33.0,20,65.0,Male,Graduate,Very satisfied,Very important,30-39
Under 25K,58.0,13,38.0,Female,High school,Mod satisfied,Very important,50+
Over 25K,43.0,14,40.0,Female,High school,Mod satisfied,Somewhat important,40-49
Under 25K,26.0,13,44.0,Male,High school,Very satisfied,Very important,18-29
Over 25K,42.0,14,46.0,Male,Junior college,Very satisfied,Very important,40-49
Under 25K,41.0,12,42.0,Male,High school,Mod satisfied,Somewhat important,40-49
Under 25K,41.0,12,24.0,Male,High school,Mod satisfied,Very important,40-49
Under 25K,42.0,14,40.0,Female,Junior college,Mod satisfied,Very important,40-49
Under 25K,26.0,12,44.0,Male,High school,Mod satisfied,Very important,18-29
Under 25K,57.0,8,52.0,Female,Less than HS,Mod satisfied,Somewhat important,50+
Under 25K,50.0,12,44.0,Female,High school,Mod satisfied,Somewhat important,50+
Over 25K,43.0,18,45.0,Female,Graduate,Very satisfied,Very important,40-49
Under 25K,30.0,16,40.0,Female,Bachelor,Mod satisfied,Somewhat important,30-39
Under 25K,58.0,14,50.0,Male,Junior college,Very satisfied,Very important,50+
Over 25K,82.0,16,36.0,Male,Bachelor,Very satisfied,Very important,50+
Under 25K,36.0,18,16.0,Female,Bachelor,A little dissatisfied,One of most important,30-39
Under 25K,27.0,16,45.0,Female,Bachelor,Very satisfied,Very important,18-29
